#OTU ID,CBAS_Control_01,CBAS_Bleached_01,CBAS_Bleached_02,CBAS_Bleached_03,CBAS_Bleached_04,CBAS_Control_02,CBAS_Control_03,CBAS_Control_05,CBAS_Control_06,CBAS_Control_07,CBAS_Shading_9W_01,CBAS_Shading_3W_01,CBAS_Shading_6W_01,CBAS_Shading_9W_02,CBAS_Bleached_05,CBAS_Shading_3W_02,CBAS_Shading_6W_02
OTU_1,15994.1780097145,207.028518282741,39.7183432903255,23.8776497988077,198.24972634541,3323.35726331321,22293.8105370415,3406.85968200432,41028.8345414431,86065.2703365854,4075.18596495897,8282.70439726395,11194.3714331217,733.755031209451,0.024308758740839,7287.51623479475,11025.9403479262
OTU_2,4072.59162284396,1780.03257579978,16.5987106287928,6344.107877314,83.2648850650721,713.885695587501,706.324972413188,774.423795589687,7755.67724559463,23312.772398374,7527.10819410069,5437.5005966771,6585.1630431158,2146.80671240578,0.155540395170603,15916.255381523,23304.8284626622
OTU_3,883.937499958177,1438.19478979804,246.411811358388,9056.976242917,2444.4191258389,238.892475785985,61.7177160361038,609.858739026879,8927.39826831037,16949.7568731707,22767.1051189399,7359.89491061859,18976.4679930084,1045.21875539471,0.205524908865092,5220.31027878712,4274.47949677034
OTU_4,4341.01243434958,457.388586903729,206.4958643701,708.982524795368,5126.7379232923,1412.61627584968,1590.94556893068,1571.23327902064,17972.5885971054,37492.4233747967,2085.53634677312,2331.86279741219,2499.3594790877,776.748490069379,0.028290878143373,11686.4812899896,9671.79295379715
OTU_6,1658.34696763532,831.55308506257,347.980112110763,2422.66308343288,1227.16580607809,126.824386143478,630.892208369061,890.58736492814,7817.67306690234,7816.63545121951,5267.77715176314,850.550342503478,2259.97277573352,1295.53622697919,0.106625704599183,9028.64506083689,16596.7388803574
OTU_5,214.428119536102,1796.53983307149,120.735859454671,1577.76162901353,9454.52944941259,609.793982432005,34.2876200200577,62.9219333916621,737.75027356176,7213.24604796748,3092.34699693945,855.066539012346,1919.1510285852,865.601638379899,0.167070711052566,1470.423284184,1624.01306698039
OTU_10,621.687281820498,645.158638369471,101.765904450337,1454.69989543506,866.351304129441,305.096400628178,109.720384064185,291.618960526742,3316.77643996253,8186.89713048781,797.058431381681,570.54615895366,1249.67973954385,612.417936204763,0.018840773889599,3217.70450890473,3898.5951667274
OTU_11,814.518324568792,77.0338672679965,24.3052548493037,168.98029088387,430.201906169539,191.034216863918,846.904214495424,365.431228543884,4079.32504204738,8858.85351138212,1408.33632612553,1680.0251012989,1610.788495451,116.560044020251,0.015869042992186,1611.92845379166,1055.36754204363
OTU_8,80.2177137832901,87.3509030628175,27.269310318731,552.85942995701,41.6324425325361,110.871633169456,17.1438100100288,170.615242465853,1556.09511482354,7775.49526463415,833.015954601907,2199.38769981873,1168.53170450853,79.2990463416464,0.01093596970248,2805.49379743892,973.444034213764
OTU_15,459.709205911932,48.1461670424978,43.8680209475237,356.3280046899,99.1248631727049,69.3944754369973,48.0026680280807,179.69052132042,2579.02616640077,8049.76317520325,785.072590308272,861.088134357503,1797.42897603223,73.5665851603225,0.011114273556325,975.15519055717,1118.01493038412
